company,email,domain,tier,segment,warmth_score,icp_fit_score,buyer_roles,opportunity_hypothesis,why_now,notes,employee_band,revenue_band,regions,regulated,parametric_maturity,innovation_partner_fit,captive_or_alt_risk,hq_city,hq_state,hq_country,ownership,linkedin_company_url,evidence_url,evidence_note,evidence_date,intro_path,hq_verified,domain_verified
Cargomatic,unknown@cargomatic.com,cargomatic.com,B,Logistics,7,8,VP Supply Chain|Head of Risk,"Cargomatic connects local drivers with last-mile needs, exposed to urban weather and fuel volatility. Marketry’s markets hedge parametric events, improving reliability and financial outcomes for gig-economy logistics.","Urban delivery growth meets 2026 weather and fuel risks, pushing platforms toward parametric tools for margin stability.","Last-mile/gig platform with urban weather exposure","201-500","$50M-$250M","US",0,none,1,0,Long Beach,CA,US,private,https://www.linkedin.com/company/cargomatic,https://cargomatic.com,company homepage,2026-04-15,"none (non-Chicago)",yes,verified
TransLoop,unknown@transloop.com,transloop.com,A,Logistics,9,8,CFO|Treasurer,"TransLoop provides truckload brokerage services with weather-sensitive routes. Marketry enables real-time hedging of disruption risks, unlocking capital efficiency.","Spot market volatility and weather events in 2026 are driving brokers to prediction markets for proactive risk management.","Truckload broker with weather-sensitive routes","100-500","$50M-$250M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/transloop,https://transloop.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Worldwide Express,unknown@wwex.com,wwex.com,B,Logistics,7,7,Head of Risk|CFO,"Worldwide Express manages global and domestic freight, with exposure to energy and weather volatility. Marketry’s parametric markets offer a new primitive for real-time risk transfer.","Global supply chain pressures and energy volatility in 2026 make parametric hedging a timely lever for mid-sized forwarders.","Global/domestic forwarder with energy volatility","501-2000","$250M+","US/Global",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/worldwide-express,https://wwex.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Quickbox Fulfillment,unknown@quickbox.com,quickbox.com,B,Logistics,8,7,Head of Operations|VP Supply Chain,"Quickbox handles e-commerce fulfillment with cold chain and weather-dependent shipping. Marketry hedges parametric weather and energy risks, protecting fulfillment SLAs and margins.","E-commerce boom and 2026 weather volatility are forcing fulfillment providers to integrate risk markets for operational resilience.","E-comm fulfillment with cold-chain exposure","100-500","$10M-$50M","US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/quickbox-fulfillment,https://quickbox.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Avenue Logistics,unknown@avenuelogistics.com,avenuelogistics.com,B,Logistics,8,8,CFO|VP Supply Chain,"Avenue Logistics focuses on dedicated fleet backhaul, exposed to fuel and weather risks. Marketry allows real-time parametric hedging, improving fleet utilization economics.","Dedicated capacity shortages and fuel volatility in 2026 push fleet operators toward prediction markets.","Dedicated fleet/backhaul operator","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/avenue-logistics,https://avenuelogistics.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Graf Air Freight,unknown@grafairfreight.com,grafairfreight.com,C,Logistics,6,7,Head of Risk|Treasurer,"Graf specializes in time-sensitive air freight with weather exposure at hubs. Marketry’s markets hedge parametric flight disruption risks.","Air cargo volatility from weather in 2026 creates opportunity for parametric risk transfer in mission-critical shipments.","Time-sensitive air freight with O'Hare exposure","100-500","$10M-$50M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/graf-air-freight,https://grafairfreight.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Maestro Cargo,unknown@maestrocargo.com,maestrocargo.com,C,Logistics,6,6,Head of Operations,"Maestro handles bonded warehouse and O'Hare cargo with weather and operational risks. Marketry enables hedging of parametric delays.","Airport hub operations face ongoing weather disruptions in 2026, driving demand for real-time risk pricing.","O'Hare bonded warehouse/cargo operator","100-500","$10M-$50M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/maestro-cargo,https://maestrocargo.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
All Truck Transportation,unknown@alltruck.com,alltruck.com,B,Logistics,8,8,CFO|Head of Risk,"All Truck operates regional trucking with weather and fuel exposure. Marketry’s prediction markets hedge these parametric risks directly.","Regional trucking margins are squeezed by 2026 weather and fuel trends, favoring parametric hedging.","Regional trucking with weather/fuel exposure","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/all-truck-transportation,https://alltruck.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
LoadDelivered,unknown@loaddelivered.com,loaddelivered.com,B,Logistics,8,8,VP Supply Chain|CFO,"LoadDelivered provides end-to-end freight management with disruption risks. Marketry layers parametric markets for weather and supply shocks.","End-to-end logistics faces amplified volatility in 2026, creating need for financial risk primitives.","End-to-end freight management","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/load-delivered,https://loaddelivered.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
FLS Transportation,unknown@flstransport.com,flstransport.com,B,Logistics,7,8,Head of Risk|CFO,"FLS specializes in cross-border freight with weather and border volatility. Marketry hedges parametric triggers for real-time decision support.","Cross-border trade risks and weather events in 2026 make parametric markets a strategic edge.","Cross-border freight operator","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/fls-transportation,https://flstransport.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
C&K Trucking,unknown@cktrucking.com,cktrucking.com,B,Logistics,8,7,Treasurer|Head of Operations,"C&K provides intermodal services in Chicago with weather-sensitive rail/truck handoffs. Marketry enables hedging of parametric disruption risks.","Intermodal handoff volatility in 2026 drives need for prediction market tools.","Intermodal Chicago rail/truck operator","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/c-k-trucking,https://cktrucking.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Commodity Forwarders,unknown@cfiperishables.com,cfiperishables.com,C,Agriculture/Food Production,6,8,Head of Risk|CFO,"Commodity Forwarders handles perishable cargo with weather and temperature risks. Marketry’s markets hedge parametric events for cold chain protection.","Perishable logistics faces heightened climate risks in 2026, favoring parametric hedging.","Perishable/cold-chain forwarder","100-500","$10M-$50M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/commodity-forwarders,https://cfiperishables.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Aries Global Logistics,unknown@ariesgl.com,ariesgl.com,B,Logistics,8,7,CFO|VP Supply Chain,"Aries provides international trade logistics with weather and supply risks. Marketry offers real-time parametric risk transfer.","International trade recovery meets 2026 volatility, creating demand for advanced risk markets.","International trade logistics","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/aries-global-logistics,https://ariesgl.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Global Distribution And Logistics,unknown@gdlusa.com,gdlusa.com,C,Logistics,6,7,Head of Risk,"GDL bridges global supply chains with disruption exposure. Marketry hedges parametric weather and energy risks.","Global distribution faces macro uncertainty in 2026, pushing toward prediction markets.","Global supply chain bridging","100-500","$10M-$50M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/global-distribution-logistics,https://gdlusa.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
ShipBob,unknown@shipbob.com,shipbob.com,B,Logistics,8,7,VP Supply Chain|Head of Risk,"ShipBob operates nationwide fulfillment with weather-impacted shipping. Marketry enables parametric hedging for network resilience.","Fulfillment networks scale amid 2026 weather volatility, requiring parametric risk tools.","E-comm fulfillment network with weather exposure","501-2000","$250M+","US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/shipbob,https://shipbob.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
HMD Trucking,unknown@hmdtrucking.com,hmdtrucking.com,B,Logistics,8,8,CFO|Head of Risk,"HMD runs a growing fleet with fuel and weather exposure. Marketry’s markets hedge parametric risks for margin protection.","Fleet expansion in volatile 2026 conditions favors real-time risk pricing.","Growing regional fleet operator","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/hmd-trucking,https://hmdtrucking.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
FourKites,unknown@fourkites.com,fourkites.com,B,Logistics,8,7,Head of Risk|CFO,"FourKites provides predictive visibility; Marketry complements with parametric risk transfer for clients.","Visibility platforms scale amid disruption risks in 2026, creating bundled opportunity for prediction markets.","Predictive visibility platform; high innovation partner fit","100-500","$50M-$250M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/fourkites,https://fourkites.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Cordelio Power,unknown@cordeliopower.com,cordeliopower.com,A,Energy/Renewables,9,9,Energy Procurement Lead|CFO|Head of Risk,"Cordelio Power develops and operates renewable assets with exposure to energy price volatility and weather variability. Marketry’s prediction markets allow real-time hedging of generation uncertainty, improving revenue predictability.","Renewable energy transition and 2026 weather-driven output volatility are accelerating demand for parametric risk markets in power operations.","Renewable IPP with weather/output volatility","100-500","$50M-$250M","Midwest, US",1,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/cordelio-power,https://cordeliopower.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
IHI Terrasun Solutions,unknown@terrasun.com,terrasun.com,A,Energy/Renewables,9,8,Head of Risk|CFO,"IHI Terrasun provides solar + storage solutions with energy market volatility. Marketry hedges parametric price and weather risks for project economics.","Battery storage growth meets energy price swings in 2026, creating opportunity for prediction market hedging.","Solar + storage solutions provider","100-500","$50M-$250M","Midwest, US",1,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/ihi-terrasun-solutions,https://terrasun.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Camlin Group,unknown@camlin.com,camlin.com,B,Energy/Utilities,7,8,Energy Procurement Lead|Head of Risk,"Camlin delivers grid and energy monitoring with exposure to utility volatility. Marketry enables parametric hedging of operational uncertainty.","Grid modernization and macro energy volatility in 2026 drive utilities toward real-time risk tools.","Grid/energy monitoring tech","100-500","$50M-$250M","US",1,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/camlin-group,https://camlin.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Invenergy,unknown@invenergy.com,invenergy.com,A,Energy/Renewables,9,9,CFO|Head of Risk|Treasurer,"Invenergy develops large-scale wind, solar, and storage projects facing weather and energy price risks. Marketry’s markets provide real-time parametric hedging for project cash flows.","Utility-scale renewable development in 2026 faces heightened weather and price volatility, making parametric markets a critical financial primitive.","Large-scale renewable developer","1000-5000","$250M+","Midwest, US",1,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/invenergy,https://invenergy.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
LanzaJet,unknown@lanzajet.com,lanzajet.com,A,Energy/Renewables,8,9,Energy Procurement Lead|CFO,"LanzaJet produces sustainable aviation fuel with feedstock and energy volatility. Marketry hedges parametric risks in production and supply.","Sustainable fuel scaling meets commodity volatility in 2026, favoring prediction market risk transfer.","Sustainable aviation fuel producer","100-500","$50M-$250M","Midwest, US",1,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/lanzajet,https://lanzajet.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Amp Americas,unknown@ampamericas.com,ampamericas.com,C,Agriculture/Food Production,7,8,Head of Risk|CFO,"Amp Americas converts waste to renewable natural gas with energy and operational risks. Marketry enables parametric hedging of production uncertainty.","Biogas production growth amid 2026 energy transitions creates need for advanced risk markets.","Waste-to-RNG biogas producer","100-500","$10M-$50M","Midwest, US",1,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/amp-americas,https://ampamericas.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Hazel Technologies,unknown@hazel.tech,hazel.tech,C,Agriculture/Food Production,7,7,VP Supply Chain|Head of Risk,"Hazel extends produce shelf life but supply chains face weather volatility. Marketry hedges parametric crop and logistics risks.","Post-harvest tech adoption coincides with 2026 climate impacts on fresh produce, driving parametric hedging demand.","Produce shelf-life tech with supply-chain weather risk","100-500","$10M-$50M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/hazel-technologies,https://hazel.tech,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
AmericanAg,unknown@americanag.com,americanag.com,B,Agriculture/Food Production,8,8,CFO|Head of Risk,"AmericanAg provides ag risk management services with direct exposure to commodity and weather volatility. Marketry layers prediction markets for enhanced parametric coverage.","Commodity price swings and weather events in 2026 ag markets are pushing risk operators toward integrated prediction tools.","Ag risk management services","100-500","$50M-$250M","Midwest, US",0,none,1,1,Chicago,IL,US,private,https://www.linkedin.com/company/american-ag,https://americanag.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Barchart,unknown@barchart.com,barchart.com,B,Commodity-Exposed,8,7,Head of Risk|Treasurer,"Barchart delivers commodity data and analytics with internal exposure to market volatility. Marketry enables trading and hedging via prediction markets for decision acceleration.","Commodity data providers face their own market risks in 2026, creating internal use case for parametric primitives.","Commodity data/analytics provider","100-500","$50M-$250M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/barchart,https://barchart.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Midwest Agri-Commodities,unknown@mwagri.com,mwagri.com,B,Commodity-Exposed,8,8,CFO|Head of Risk,"Midwest Agri markets sugar beet co-products with price and weather exposure. Marketry’s markets hedge parametric commodity and supply risks.","Sugar beet supply volatility in 2026 drives commodity marketers to adopt real-time prediction markets.","Sugar beet co-product marketer","100-500","$50M-$250M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/midwest-agri-commodities,https://mwagri.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Chicago Trading Company,unknown@chicagotrading.com,chicagotrading.com,A,Commodity-Exposed,10,9,Head of Risk|Treasurer,"Chicago Trading Company executes quant-driven commodity strategies with volatility exposure. Marketry’s parametric markets enhance risk transfer and decision speed for their portfolios.","Quant trading sophistication in Chicago meets 2026 commodity volatility, making prediction markets a natural extension.","Quant commodity trading desk","100-500","$250M+","Midwest, US",0,none,1,1,Chicago,IL,US,private,https://www.linkedin.com/company/chicago-trading-company,https://chicagotrading.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Belvedere Trading,unknown@belvederetrading.com,belvederetrading.com,A,Commodity-Exposed,10,8,Head of Risk|CFO,"Belvedere Trading focuses on options and futures with macro uncertainty. Marketry provides new parametric instruments for real-world risk hedging.","Options market making in volatile 2026 environments favors layering prediction markets for operational edge.","Options/futures market maker","100-500","$250M+","Midwest, US",0,none,1,1,Chicago,IL,US,private,https://www.linkedin.com/company/belvedere-trading,https://belvederetrading.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Wolverine Trading,unknown@wolverinetrading.com,wolverinetrading.com,A,Commodity-Exposed,10,8,Treasurer|Head of Risk,"Wolverine Trading makes markets in commodities and derivatives. Marketry’s platforms allow internal hedging of parametric risks.","Proprietary trading desks in Chicago face asymmetric volatility in 2026, creating high-fit for Marketry’s primitives.","Proprietary trading / market making","100-500","$250M+","Midwest, US",0,none,1,1,Chicago,IL,US,private,https://www.linkedin.com/company/wolverine-trading,https://wolverinetrading.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
F.H. Paschen,unknown@fhpaschen.com,fhpaschen.com,A,Infrastructure/Construction,9,9,CFO|Head of Risk,"F.H. Paschen leads infrastructure rehabilitation with weather and material volatility. Marketry hedges parametric project risks in real time.","Chicago infrastructure projects in 2026 face weather and supply risks, driving contractors to parametric financial tools.","Infrastructure rehab contractor","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/f-h-paschen,https://fhpaschen.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Sjostrom & Sons,unknown@sjostrom.com,sjostrom.com,B,Infrastructure/Construction,8,8,Head of Risk|CFO,"Sjostrom builds healthcare and institutional projects with timeline volatility. Marketry enables hedging of weather and operational risks.","Institutional construction in Midwest faces 2026 volatility, favoring prediction market adoption.","Institutional/healthcare construction","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/sjostrom-and-sons,https://sjostrom.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Richard Group,unknown@richardgroup.com,richardgroup.com,B,Infrastructure/Construction,8,7,CFO|Treasurer,"Richard executes commercial builds with supply chain exposure. Marketry’s markets hedge parametric disruptions for margin protection.","Fast-growing construction in 2026 benefits from real-time risk pricing tools.","Commercial construction","100-500","$50M-$250M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/richard-group,https://richardgroup.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Vserve Ebusiness Solutions,unknown@vservesolution.com,vservesolution.com,C,Logistics,6,7,VP Supply Chain|Head of Risk,"Vserve optimizes supply chains with predictive analytics but underlying risks remain. Marketry adds parametric hedging layer.","Supply chain optimization firms encounter volatility in 2026, opening door for integrated risk markets.","Supply chain optimization / predictive analytics","100-500","$10M-$50M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/vserve-ebusiness-solutions,https://vservesolution.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
